id,user_id,car_id,service_item,performed_date,mileage,cost,shop,invoice_number,notes,next_due_date,next_due_mileage,created_at
29,2,7,Repair from Canyon Rock,2024-06-19 00:00:00.000000,43068,26415.38,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:05:03.093994
31,2,7,Engine Air Filter,2024-06-19 00:00:00.000000,43068,0,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:13:21.654207
32,2,7,Cabin Air Filter,2024-06-19 00:00:00.000000,43068,0,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:13:21.661651
33,2,7,Brake Fluid,2024-06-19 00:00:00.000000,43068,0,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:13:21.669581
34,2,7,Coolant/Antifreeze,2024-06-19 00:00:00.000000,43068,0,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:13:21.676202
35,2,7,Spark Plugs,2024-06-19 00:00:00.000000,43068,0,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:13:21.683781
36,2,7,Battery Test,2024-06-19 00:00:00.000000,43068,0,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:13:21.689869
37,2,7,Brake Inspection,2024-06-19 00:00:00.000000,43068,0,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:13:21.697306
38,2,7,Wheel Alignment Check,2024-06-19 00:00:00.000000,43068,0,Seven Lakes Motorsports,2478,"Major Repairs from rock in the canyon.
10 qts - 5w40.
Oil Filter
2 Gallons - Engine Coolant",,,2025-07-10 04:13:21.703662
30,2,7,Major Service,2024-03-10 00:00:00.000000,41912,44575.04,Seven Lakes Motorsports,2450,"Major, engine out service.
Rebuilt dual mass flywheel
Replace Input Shaft
Replace Clutch
Replace Gearbox and Engine Mount
Replace RH Axle Seal, CV Boots.
New Battery.
New Thermostat.
New Coolant Lines.
Rebuild Waterpump.
Change Gearbox Oil.
Change Engine Oil & Filter.
Replace All Accessory Belts.
Retime Camshafts.
Replace Timing Belts and Tensioner Bearings.",,,2025-07-10 04:12:30.709482
39,2,7,Brake Fluid,2021-12-29 00:00:00.000000,36437,23443.19,Seven Lakes Motorsports,,"New Power Steering Reservoir.
New Fuse Box.
Rebuild All Four Shocks.
New Radiator Fans (both sides).
New F360 F1 Pump.
New Fuel Filter.",,,2025-07-10 05:00:18.427284
40,2,7,Coolant/Antifreeze,2021-12-29 00:00:00.000000,36437,0,Seven Lakes Motorsports,,"New Power Steering Reservoir.
New Fuse Box.
Rebuild All Four Shocks.
New Radiator Fans (both sides).
New F360 F1 Pump.
New Fuel Filter.",,,2025-07-10 05:00:18.443903
41,2,7,Spark Plugs,2021-12-29 00:00:00.000000,36437,0,Seven Lakes Motorsports,,"New Power Steering Reservoir.
New Fuse Box.
Rebuild All Four Shocks.
New Radiator Fans (both sides).
New F360 F1 Pump.
New Fuel Filter.",,,2025-07-10 05:00:18.451741
42,2,7,Battery Test,2021-12-29 00:00:00.000000,36437,0,Seven Lakes Motorsports,,"New Power Steering Reservoir.
New Fuse Box.
Rebuild All Four Shocks.
New Radiator Fans (both sides).
New F360 F1 Pump.
New Fuel Filter.",,,2025-07-10 05:00:18.458431
43,2,7,Brake Inspection,2021-12-29 00:00:00.000000,36437,0,Seven Lakes Motorsports,,"New Power Steering Reservoir.
New Fuse Box.
Rebuild All Four Shocks.
New Radiator Fans (both sides).
New F360 F1 Pump.
New Fuel Filter.",,,2025-07-10 05:00:18.467311
28,2,11,"Oil Change, Tire Rotation",2025-07-09 00:00:00.000000,,18,Pingrey Ford,999999,,,,2025-07-10 03:12:20.640038
19,2,12,DEF (Diesel Exhaust Fluid),2025-07-09 00:00:00.000000,,0,,,Filled the DEF.,,,2025-07-10 00:41:21.882509
1,2,12,Engine Oil & Filter,2025-05-01 00:00:00.000000,50850,190,Valvoline Oil Change Selah,41211,"Premium Blue Extreme Oil Change
Valvoline Oil Filter VO104
Valvoline 5W40 Premium Blue
Extra Oil Charge
Air Filter Replacement VA512",,,2025-07-09 23:55:26.526057
2,2,12,Engine Air Filter,2025-05-01 00:00:00.000000,50850,36,Valvoline Oil Change Selah,41211,"Premium Blue Extreme Oil Change
Valvoline Oil Filter VO104
Valvoline 5W40 Premium Blue
Extra Oil Charge
Air Filter Replacement VA512",,,2025-07-09 23:55:26.539362
26,2,12,New Tires,2024-12-10 00:00:00.000000,47710,1879.53,Les Schwab,41800624492,"New Winter Tires.
LT275/65R-18/10 Open Range AT Plus
Mount & Balance
VS20 Tire Pressure Monitoring System Rebuild
Tire Disposal.",,,2025-07-10 01:33:00.134226
27,2,12,Wheel Alignment Check,2024-12-10 00:00:00.000000,47710,0,Les Schwab,41800624492,"New Winter Tires.
LT275/65R-18/10 Open Range AT Plus
Mount & Balance
VS20 Tire Pressure Monitoring System Rebuild
Tire Disposal.",,,2025-07-10 01:45:33.122221
3,2,12,Engine Oil & Filter,2023-06-05 00:00:00.000000,35352,62.13,Pingrey Ford,46329,"Inspection and service.
KIT - Element
Motorcraft SAE 10W-30 (13q)
Exhaust Emissi...",,,2025-07-10 00:02:20.423301
4,2,12,Cabin Air Filter,2023-06-05 00:00:00.000000,35352,37.55,Pingrey Ford,46329,"Inspection and service.
KIT - Element
Motorcraft SAE 10W-30 (13q)
Exhaust Emissi...",,,2025-07-10 00:02:20.443613
5,2,12,Battery Test,2023-06-05 00:00:00.000000,35352,0,Pingrey Ford,46329,"Inspection and service.
KIT - Element
Motorcraft SAE 10W-30 (13q)
Exhaust Emissi...",,,2025-07-10 00:02:20.453245
6,2,12,Brake Inspection,2023-06-05 00:00:00.000000,35352,0,Pingrey Ford,46329,"Inspection and service.
KIT - Element
Motorcraft SAE 10W-30 (13q)
Exhaust Emissi...",,,2025-07-10 00:02:20.461053
11,2,12,Engine Oil & Filter,2022-08-14 00:00:00.000000,27640,156.43,Pingrey Ford,41609,Buncha Shit.,,,2025-07-10 00:34:54.333953
12,2,12,Fuel Filter (Primary & Secondary),2022-08-14 00:00:00.000000,27640,213.09,Pingrey Ford,41609,Buncha Shit.,,,2025-07-10 00:34:54.347549
13,2,12,DEF (Diesel Exhaust Fluid),2022-08-14 00:00:00.000000,27640,34.99,Pingrey Ford,41609,Buncha Shit.,,,2025-07-10 00:34:54.355211
